Season,name,Team name,Minutes played,Games played,Goals,Assists,xG,xA,Shots,Key Passes,npg,npxG,Position,Penalty Taker
2024/2025,Mohamed Salah,Liverpool,3392,38,29,18,27.70626749098301,15.858334187418222,130,89,20,20.855747912079096,Midfielder,1
2024/2025,Alexander Isak,Newcastle United,2822,34,23,6,22.356988068670034,5.44870379474014,99,42,19,19.312312599271536,Forward,1
2024/2025,Erling Haaland,Manchester City,2749,31,22,3,23.95459282770753,3.5812273556366563,109,29,19,20.909917432814837,Forward,1
2024/2025,Chris Wood,Nottingham Forest,3024,36,20,3,15.638655036687851,3.044111367315054,68,22,17,13.355148404836655,Forward,1
2024/2025,Bryan Mbeumo,Brentford,3419,38,20,7,13.63216146454215,10.376488702371716,86,70,15,9.06514835730195,Midfielder,0
2024/2025,Yoane Wissa,Brentford,2943,35,18,4,20.731059528887272,3.4494741149246693,90,28,18,20.731059528887272,Forward,1
2024/2025,Ollie Watkins,Aston Villa,2666,38,16,8,18.632458329200745,3.87640418484807,84,25,14,17.11012053489685,Forward,1
2024/2025,Matheus Cunha,Wolverhampton Wanderers,2617,33,15,6,8.446298986673355,7.411126339808106,110,56,15,8.446298986673355,Midfielder,0
2024/2025,Cole Palmer,Chelsea,3228,37,15,8,15.77423645183444,12.954366408288479,126,87,11,11.968392122536898,Midfielder,1
2024/2025,Jean-Philippe Mateta,Crystal Palace,2690,37,14,2,15.83262430690229,3.85278513841331,69,29,12,14.31028657220304,Forward,1
2024/2025,Jørgen Strand Larsen,Wolverhampton Wanderers,2624,35,14,4,11.689683858305216,3.358626527711749,54,19,14,11.689683858305216,Forward,0
2024/2025,Jarrod Bowen,West Ham,2993,34,13,8,9.816103929653764,7.633318647742271,87,50,12,9.054935092106462,Forward,1
2024/2025,Luis Díaz,Liverpool,2433,36,13,5,12.3563298471272,6.245185255073011,71,56,13,12.3563298471272,Midfielder,0
2024/2025,Raúl Jiménez,Fulham,2531,38,12,3,14.405358291231096,4.079181319102645,96,25,9,12.121851704083383,Midfielder,0
2024/2025,Justin Kluivert,Bournemouth,2390,34,12,6,10.441609976813197,5.512896118685603,63,44,6,5.87459684535861,Midfielder,1
2024/2025,Liam Delap,Ipswich,2671,37,12,2,11.930982023477554,2.784454360604286,68,20,10,10.40864434838295,Forward,0
2024/2025,Kevin Schade,Brentford,2332,38,11,2,9.467997699975967,3.714522727765143,55,23,11,9.467997699975967,Midfielder,0
2024/2025,Brennan Johnson,Tottenham,2178,33,11,3,11.162618312984705,2.948688331991434,54,19,11,11.162618312984705,Midfielder,0
2024/2025,Antoine Semenyo,Bournemouth,3219,37,11,5,14.549346312880516,6.608794005587697,126,46,11,14.549346312880516,Midfielder,1
2024/2025,Danny Welbeck,Brighton,2152,30,10,4,10.456029083579779,2.076795544475317,59,23,9,9.694860246032476,Forward,1
2024/2025,João Pedro,Brighton,1975,27,10,6,8.863604867830873,5.618519173935056,47,30,5,5.0577606651932,Midfielder,0
2024/2025,Nicolas Jackson,Chelsea,2294,30,10,5,13.834070887416601,3.47239719517529,76,28,10,13.834070887416601,Forward,0
2024/2025,Kaoru Mitoma,Brighton,2608,36,10,4,10.222694747149944,4.949204979464412,57,37,10,10.222694747149944,Midfielder,0
2024/2025,Cody Gakpo,Liverpool,1970,35,10,4,8.601265830919147,6.257204940542579,57,38,10,8.601265830919147,Midfielder,1
2024/2025,Evanilson,Bournemouth,2376,31,10,1,13.714270060881972,1.9151847725734115,73,25,10,12.953101200982928,Midfielder,0
2024/2025,Alex Iwobi,Fulham,3023,38,9,6,5.021547559648752,8.458939167670906,68,58,9,5.021547559648752,Midfielder,0
2024/2025,Jamie Vardy,Leicester,2890,35,9,4,12.219386659562588,3.737534761428833,58,19,8,10.697048958390951,Midfielder,0
2024/2025,Dominic Solanke,Tottenham,2220,27,9,3,12.416034620255232,2.4611449129879475,60,14,8,11.65486578270793,Midfielder,0
2024/2025,Kai Havertz,Arsenal,1880,23,9,3,11.830620590597391,2.9488715566694736,53,17,9,11.830620590597391,Forward,0
2024/2025,Harvey Barnes,Newcastle United,1740,33,9,4,7.695071091875434,4.351620296947658,63,24,9,7.695071091875434,Midfielder,0
2024/2025,James Maddison,Tottenham,1851,31,9,7,5.8936047330498695,6.016693122684956,39,42,9,5.8936047330498695,Midfielder,0
2024/2025,Tomas Soucek,West Ham,2586,35,9,1,8.068854354321957,0.947371281683445,55,14,9,8.068854354321957,Midfielder,0
2024/2025,Iliman Ndiaye,Everton,2478,33,9,0,7.094870626926422,1.9087076298892498,37,18,7,5.572532966732979,Midfielder,1
2024/2025,Bruno Fernandes,Manchester United,3034,36,8,10,9.887796703726053,10.227527445182204,96,92,5,7.604290317744017,Midfielder,0
2024/2025,Ismaila Sarr,Crystal Palace,2738,38,8,6,12.308559328317642,10.056549122557044,59,44,8,12.308559328317642,Midfielder,0
2024/2025,Jacob Murphy,Newcastle United,2443,35,8,11,6.590988090261817,9.341311557218432,43,41,8,6.590988090261817,Midfielder,0
2024/2025,Leandro Trossard,Arsenal,2569,38,8,7,8.742100939154625,7.04339361935854,72,43,8,8.742100939154625,Midfielder,1
2024/2025,Gabriel Martinelli,Arsenal,2310,33,8,4,9.213460259139538,5.264152456074953,56,40,8,9.213460259139538,Midfielder,0
2024/2025,Amad Diallo Traore,Manchester United,1887,26,8,6,4.74583822209388,4.755917379632592,47,49,8,4.74583822209388,Midfielder,0
2024/2025,Eberechi Eze,Crystal Palace,2635,34,8,8,9.876954596489668,7.019554221071303,102,58,7,8.354616891592741,Midfielder,1
2024/2025,Beto,Everton,1520,30,8,0,9.26681118644774,1.3863521181046963,49,12,8,9.26681118644774,Midfielder,0
2024/2025,Rodrigo Muniz,Fulham,922,31,8,1,6.838322004303336,0.7810081988573074,40,7,8,6.838322004303336,Midfielder,0
2024/2025,Morgan Rogers,Aston Villa,3191,37,8,10,8.216648440808058,8.145913934335113,55,51,8,8.216648440808058,Midfielder,0
2024/2025,Son Heung-Min,Tottenham,2135,30,7,9,7.906742995604873,9.04414401575923,57,51,6,6.384405327960849,Midfielder,0
2024/2025,Mikel Merino,Arsenal,1578,28,7,2,6.865131866186857,2.1651013009250164,38,17,7,6.865131866186857,Midfielder,0
2024/2025,Phil Foden,Manchester City,1770,28,7,2,6.184084575623274,5.382284659892321,54,44,7,6.184084575623274,Midfielder,0
2024/2025,Dejan Kulusevski,Tottenham,2391,32,7,4,5.52329240180552,6.502650566399097,47,64,7,5.52329240180552,Midfielder,0
2024/2025,Morgan Gibbs-White,Nottingham Forest,2868,34,7,8,6.140304567292333,6.105838568881154,61,51,7,6.140304567292333,Midfielder,1
2024/2025,Omar Marmoush,Manchester City,1195,16,7,0,5.649778325110674,2.676836894825101,49,15,7,5.649778325110674,Midfielder,1
2024/2025,Dango Ouattara,Bournemouth,2013,32,7,4,10.933680262416601,5.989504734054208,62,35,7,10.933680262416601,Midfielder,0
2023/2024,Erling Haaland,Manchester City,2581,31,27,5,31.65399668365717,4.7517555598169565,122,29,20,25.564646281301975,Forward,1
2023/2024,Cole Palmer,"Chelsea,Manchester City",2640,34,22,11,17.83224501274526,11.869294486939907,108,72,13,10.981725485995412,Midfielder,1
2023/2024,Alexander Isak,Newcastle United,2305,30,21,2,22.07426631450653,3.6520401313900948,78,27,16,17.507253035902977,Forward,1
2023/2024,Dominic Solanke,Bournemouth,3346,38,19,3,21.40683087334037,3.5437498800456524,109,39,17,19.12332433462143,Midfielder,0
2023/2024,Phil Foden,Manchester City,2895,35,19,8,11.307983005419374,8.51623285189271,105,73,19,11.307983005419374,Midfielder,0
