Season,Team_name,Games_Played,Wins,Draws,Losses,Goals_For,Goals_Against,Points,xG,xGa,Ranking,Top_6_Label
2014/2015,Chelsea,38,26,9,3,73,32,87,68.6,31.5,1,1
2014/2015,Manchester City,38,24,7,7,83,38,79,75.8,40.5,2,1
2014/2015,Arsenal,38,22,9,7,71,36,75,69.8,35.7,3,1
2014/2015,Manchester United,38,20,10,8,62,37,70,54.2,39.8,4,1
2014/2015,Tottenham,38,19,7,12,58,53,64,52.4,57,5,1
2014/2015,Liverpool,38,18,8,12,52,48,62,51.7,38.2,6,1
2014/2015,Southampton,38,18,6,14,54,33,60,55,39.1,7,0
2014/2015,Swansea,38,16,8,14,46,49,56,40.9,55.9,8,0
2014/2015,Stoke,38,15,9,14,48,45,54,46.3,47,9,0
2014/2015,Crystal Palace,38,13,9,16,47,51,48,44.8,45.5,10,0
2014/2015,Everton,38,12,11,15,48,50,47,44.9,46.2,11,0
2014/2015,West Ham,38,12,11,15,44,47,47,46.7,57.4,11,0
2014/2015,West Bromwich Albion,38,11,11,16,38,51,44,38.6,53.7,13,0
2014/2015,Leicester,38,11,8,19,46,55,41,48.2,56.4,14,0
2014/2015,Newcastle United,38,10,9,19,40,63,39,40.2,51,15,0
2014/2015,Aston Villa,38,10,8,20,31,57,38,33.1,49.7,16,0
2014/2015,Sunderland,38,7,17,14,31,53,38,37.4,51.5,16,0
2014/2015,Hull,38,8,11,19,33,51,35,32.8,47,18,0
2014/2015,Burnley,38,7,12,19,28,53,33,39.4,57.9,19,0
2014/2015,Queens Park Rangers,38,8,6,24,42,73,30,45.7,65.3,20,0
2015/2016,Leicester,38,23,12,3,68,36,81,68.4,45,1,1
2015/2016,Arsenal,38,20,11,7,65,36,71,73.5,33.9,2,1
2015/2016,Tottenham,38,19,13,6,69,35,70,63.4,37.1,3,1
2015/2016,Manchester City,38,19,9,10,71,41,66,66.2,37.5,4,1
2015/2016,Manchester United,38,19,9,10,49,35,66,45.4,39.7,4,1
2015/2016,Southampton,38,18,9,11,59,41,63,56.2,44.3,6,1
2015/2016,West Ham,38,16,14,8,65,51,62,54.4,55.5,7,0
2015/2016,Liverpool,38,16,12,10,63,50,60,54.4,37.9,8,0
2015/2016,Stoke,38,14,9,15,41,55,51,42.6,54.3,9,0
2015/2016,Chelsea,38,12,14,12,59,53,50,54.5,44.6,10,0
2015/2016,Everton,38,11,14,13,59,55,47,54,54.7,11,0
2015/2016,Swansea,38,12,11,15,42,52,47,40,53.6,11,0
2015/2016,Watford,38,12,9,17,40,50,45,43.2,51.9,13,0
2015/2016,West Bromwich Albion,38,10,13,15,34,48,43,39.8,51.9,14,0
2015/2016,Bournemouth,38,11,9,18,45,67,42,38.7,54,15,0
2015/2016,Crystal Palace,38,11,9,18,39,51,42,42.5,52.9,15,0
2015/2016,Sunderland,38,9,12,17,48,62,39,40.5,58.9,17,0
2015/2016,Newcastle United,38,9,10,19,44,65,37,37.6,55.4,18,0
2015/2016,Norwich,38,9,7,22,39,67,34,39.2,58.9,19,0
2015/2016,Aston Villa,38,3,8,27,27,76,17,26.5,59,20,0
2016/2017,Chelsea,38,30,3,5,85,33,93,61.8,28.6,1,1
2016/2017,Tottenham,38,26,8,4,86,26,86,70.1,33.8,2,1
2016/2017,Manchester City,38,23,9,6,80,39,78,79.9,29.6,3,1
2016/2017,Liverpool,38,22,10,6,78,42,76,66.6,37.7,4,1
2016/2017,Arsenal,38,23,6,9,77,44,75,63.6,47.1,5,1
2016/2017,Manchester United,38,18,15,5,54,29,69,57.6,31.6,6,1
2016/2017,Everton,38,17,10,11,62,44,61,49.6,45.8,7,0
2016/2017,Bournemouth,38,12,10,16,55,67,46,50,63,8,0
2016/2017,Southampton,38,12,10,16,41,48,46,50,43.1,8,0
